序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
1,600589, 大位科技,5.76,9.92,0.394,0.388,4262.76,2.725,1.346,-1.44,-2.457,3,3,3,67.02,25.82,41.2,0.38,11.55,-11.17
2,603316, 诚邦股份,5.9,10.07,1.115,1.133,1093.35,2.028,3.879,1.486,3.816,1,3,3,32.35,13.92,18.43,56.33,27.28,29.05
3,000096, 广聚能源,18.43,10.03,0.201,0.195,771.89,0.205,0.688,0.91,2.059,3,3,8,71.49,24.6,46.89,0.88,21.5,-20.63
4,603949, 雪龙集团,14.3,10,0.421,0.542,498.13,0.505,2.777,0.548,3.343,1,3,5,52.68,15.2,37.48,12.26,20.72,-8.46
5,600280, 中央商场,3.77,9.91,2.093,2.391,209.35,2.398,6.266,2.358,1.247,1,3,5,66.87,3.49,63.38,12.55,21.4,-8.86
6,002298, 中电兴发,6.44,10.09,3.018,4.016,179.83,3.206,0.419,4.783,5.81,2,2,6,50.99,8.77,42.22,25.12,24.79,0.33
7,600355, 精伦电子,4.16,10.05,6.589,7.284,163.21,5.781,3.26,6.259,-9.81,1,2,4,54.15,3.86,50.28,21.92,18.67,3.25
8,002501, 利源股份,2.51,10.09,0.167,0.306,124.92,1.572,1.97,2.528,1.948,5,5,7,27.4,6.62,20.79,19.38,15.73,3.65
9,000529, 广弘控股,6.33,10.09,1.021,1.253,120.48,0.775,1.061,0.347,0.668,1,2,4,57.7,16.83,40.87,14.81,24.32,-9.51
10,603429, 集友股份,7.36,10.01,0.635,0.764,114.15,-0.569,-0.191,-1.294,-0.104,1,2,5,48.41,10.14,38.27,21.77,21.51,0.26
11,000536, 华映科技,5.96,9.96,2.617,3.08,110.62,1.667,-0.325,1.608,-0.881,2,2,4,52.54,7.45,45.09,16.48,19.76,-3.28
12,600203, 福日电子,12.17,10.04,2.428,2.62,107.78,6.612,8.893,2.99,1.225,2,3,4,46.41,13.37,33.04,9.37,13.6,-4.23
13,603421, 鼎信通讯,8.35,10.01,0.853,1.422,96.61,1.265,4.649,0.522,2.153,4,4,4,42.26,1.57,40.69,14.63,18.48,-3.84
14,002910, 庄园牧场,10.86,10.03,0.278,0.382,96.51,3.555,4.057,1.24,0.837,3,3,4,21.95,4.62,17.33,7.99,4.95,3.04
15,603626, 科森科技,9.56,10.01,3.627,4.391,90.22,2.878,1.625,2.74,2.683,1,2,5,44.76,10.81,33.95,23.05,23.56,-0.51
16,000868, 安凯客车,7.21,10.08,2.518,3.15,85.74,2.854,5.614,-0.435,-1.975,2,2,3,42.22,9.28,32.94,25.11,26.54,-1.43
17,002824, 和胜股份,19.18,9.98,4.152,6.95,77.72,4.997,8.295,2.741,2.938,2,4,5,30.64,7.26,23.38,25.45,18.51,6.94
18,002323, 雅博股份,1.89,9.88,2.119,2.615,77.4,2.385,4.31,2.041,2.14,3,4,7,37.34,6.56,30.78,25.32,22.92,2.4
19,603278, 大业股份,11.56,9.99,2.102,1.976,69.61,-0.542,-4.023,1.777,-2.495,1,2,5,50.3,11.79,38.51,18.83,26.45,-7.62
20,301090, 华润材料,8.36,19.94,1.51,1.608,69.43,1.419,1.955,1.056,1.549,1,2,3,41.43,7.48,33.95,20.95,20.79,0.17
21,002889, 东方嘉盛,22.56,10,2.425,3.058,69.15,2.378,1.854,1.642,-0.17,2,3,5,42.08,10.4,31.68,20.34,22.59,-2.25
22,600246, 万通发展,6.9,10.05,1.15,1.79,62.45,2.575,5.474,2.786,6.785,2,4,6,30.49,10.54,19.95,26.61,21.92,4.69
23,002058, 威尔泰,12.61,10.03,2.594,2.775,60.83,-4.025,-11.575,-5.033,-6.037,1,2,3,35.42,0,35.42,18.72,18.87,-0.16
24,000893, 亚钾国际,23.53,0.09,0.253,0.649,55.64,0.247,1.221,-0.163,0.486,2,3,4,11.76,6.78,4.98,36.91,25.4,11.51
25,300134, 大富科技,15.38,19.97,2.282,2.742,54.95,2.286,1.829,1.936,0.219,1,3,4,39.15,11.39,27.76,22.85,26.85,-4
26,002097, 山河智能,8.86,10.06,1.875,2.745,54.2,3.034,6.781,2.23,4.766,5,5,6,33.25,11.29,21.96,24.51,24.38,0.13
27,300328, 宜安科技,10.72,19.11,3.566,7.52,53.74,4.638,7.375,3.387,7.145,2,4,5,29.04,13.37,15.67,28.57,27.99,0.58
28,600052, 东望时代,4.77,4.61,0.44,1.862,51.81,0.285,1.635,-0.159,0.802,2,2,3,15.96,13.92,2.05,26.32,15.57,10.75
29,600302, 标准股份,6.04,10.02,0.489,1.523,51.1,0.752,0.765,0.499,0.218,2,2,3,24.56,1.86,22.7,11.03,19.53,-8.5
30,000980, 众泰汽车,2.39,8.64,1.978,2.479,49.83,1.823,1.297,1.101,-1.778,1,2,3,37.73,14.7,23.03,19.4,19.29,0.11
31,600996, 贵广网络,10,10.01,0.788,0.68,49.69,0.494,1.282,0.727,1.83,1,3,5,48,14.19,33.81,17.32,26.02,-8.7
32,000801, 四川九洲,18.56,10.02,3.826,4.086,49.67,4.114,7.024,2.254,4.106,1,2,3,35.26,11.45,23.8,24.37,24.12,0.25
33,000931, 中 关 村,4.91,0.61,0.571,2.155,48.41,0.661,1.887,0.691,2.524,3,3,6,3.12,3.52,-0.4,29.7,11.55,18.16
34,300121, 阳谷华泰,13.7,5.38,1.175,3.831,47.03,1.673,7.503,1.102,6.692,2,3,4,9.45,3.63,5.82,31.34,21.6,9.74
35,603389, 亚振家居,6.45,10.07,1.748,2.075,46.83,2.429,6.684,3.306,11.047,3,4,7,24.94,0.73,24.2,22.04,17.98,4.06
36,601969, 海南矿业,6.78,1.35,0.103,0.497,46.78,-0.081,0.219,-0.224,0.108,1,1,2,15.7,2.73,12.97,19.99,20.42,-0.43
37,603810, 丰山集团,11.33,1.07,0.543,1.691,46.42,-0.031,1.908,-0.078,1.7,1,2,4,6.05,0.97,5.08,25.41,9.37,16.04
38,688655, 迅捷兴,15.05,14.02,2.125,3.397,46.28,1.776,1.117,1.57,2.996,2,2,4,19.22,9.48,9.74,36.06,27.1,8.96
39,688166, 博瑞医药,35,5.58,0.664,0.995,46.21,0.719,-0.908,0.232,-1.348,3,3,4,22.41,9.66,12.75,37.45,33.64,3.81
40,603915, 国茂股份,20.48,9.99,0.81,1.033,45.97,2.751,8.343,1.761,5.077,2,4,6,33.93,13.74,20.19,26.6,28.03,-1.44
41,603956, 威派格,11,10,3.618,3.846,45.95,-1.013,-7.273,-2.978,-16.519,1,1,2,35.65,12.63,23.03,22.13,22.07,0.06
42,300507, 苏奥传感,7.83,3.03,0.975,3.643,45.87,1.027,1.194,-0.811,-3.517,1,3,3,7.99,3.43,4.56,31,21.37,9.63
43,001207, 联科科技,23.79,5.78,0.725,1.182,45.84,0.87,-0.204,0.198,0.08,2,3,4,20.23,7.19,13.04,30.59,23.72,6.87
44,601798, 蓝科高新,6.59,2.81,0.667,2.074,45.82,0.235,3.126,0.069,3.398,1,2,3,13.46,5.31,8.15,22.3,12.07,10.23
45,002544, 普天科技,22.9,2.6,0.449,1.216,45.16,0.698,1.803,0.466,1.298,2,3,4,10.29,4.6,5.7,30.62,18.98,11.64
46,600841, 动力新科,6.07,9.96,1.181,2.303,43.02,2.045,4.393,1.78,2.873,2,4,5,28.25,12.95,15.3,23.43,22.27,1.16
47,601225, 陕西煤业,19.57,0.1,0.082,0.159,42.57,0.066,0.131,0.181,0.062,3,3,6,11.45,5.76,5.7,32.03,18.16,13.87
48,300508, 维宏股份,37.54,20.01,2.813,1.626,42.19,3.348,3.963,2.609,2.98,1,4,5,48.29,16.91,31.38,23.45,32.23,-8.78
49,002570, 贝因美,4.54,3.89,1.438,3.895,41.95,0.313,1.456,-1.443,-5.196,1,2,3,15.97,7.41,8.56,28.6,22.53,6.07
50,001338, 永顺泰,11.11,-1.86,0.577,2.952,41.88,0.977,7.833,0.32,5.431,2,2,3,7.27,4.28,2.99,23.66,14.01,9.65
51,600004, 白云机场,9.1,-0.76,0.052,0.264,41.56,-0.067,0.584,-0.341,0.92,1,2,2,10.98,10.15,0.83,27.08,17.92,9.15
52,300721, 怡达股份,13.12,1.39,0.781,2.059,41.53,-0.059,0.09,-0.496,0.195,1,1,2,5.17,0,5.17,27.95,12.47,15.48
53,002004, 华邦健康,3.85,-0.77,0.099,0.408,41.42,0.098,1.139,0.082,0.599,1,3,5,13.15,2.69,10.46,20.33,16.75,3.58
54,002068, 黑猫股份,13.35,3.57,0.489,1.325,41.15,2.169,3.29,2.91,3.302,2,4,8,12.36,8.43,3.94,38.18,30.25,7.93
55,600446, 金证股份,19.79,10.01,1.103,1.389,40.41,0.968,0.582,0.725,-1.238,1,2,4,33.17,15.71,17.45,28.05,29.12,-1.08
56,301325, 曼恩斯特,82.75,20,5.187,5.303,40.05,3.927,0.115,4.056,4.601,1,3,7,26.23,10,16.24,33.19,29.36,3.82
57,600810, 神马股份,8.31,10.07,0.625,0.636,39.47,0.557,1.335,0.567,1.198,1,3,5,32.44,12.29,20.16,25.34,25.43,-0.09
58,300545, 联得装备,34.52,3.57,1.252,5.109,39.33,1.326,1.673,0.044,0.361,2,3,4,6.28,1.96,4.32,29.25,20.83,8.42
59,301139, 元道通信,36.75,15.49,5.07,12.197,38.85,10.183,17.573,9.246,9.265,3,3,4,19.97,9.32,10.65,32.28,31.42,0.86
60,002589, 瑞康医药,3.02,-0.33,0.332,0.587,38.77,-0.002,0.283,-0.092,0.29,1,3,5,10.87,1.87,8.99,29.3,17.75,11.55
61,600595, 中孚实业,3.67,0.55,0.394,0.57,38.28,-0.363,0.501,-0.425,-1.625,1,2,4,8.6,4.25,4.35,38.79,23.38,15.41
62,300238, 冠昊生物,13.31,1.22,0.53,2.78,37.97,0.459,2.089,0.182,-0.103,2,3,5,9.99,0.92,9.07,23.33,21.79,1.54
63,003021, 兆威机电,143.81,10,1.018,1.03,37.75,0.515,0.663,-0.122,-0.684,1,2,4,35.38,17.59,17.79,26.43,27.06,-0.63
64,300327, 中颖电子,26.48,1.26,0.816,3.114,37.59,1.998,3.902,1.18,4.236,4,4,4,10.6,7.56,3.05,26.91,17.92,9
65,603669, 灵康药业,4.96,0.61,0.271,1.081,37.36,-0.368,0.044,-1.61,-0.987,1,1,2,9.37,0.54,8.83,21.99,16.63,5.35
66,688343, 云天励飞-U,82.26,20,2.435,2.199,37.15,2.9,3.54,-1.273,-1.306,1,3,5,52,30.87,21.13,23.25,31.09,-7.84
67,300293, 蓝英装备,27.53,14.37,3.649,5.207,37.15,3.281,3.212,3.52,5.801,1,2,4,25.93,5.63,20.3,23.3,24.38,-1.08
68,002155, 湖南黄金,17.48,0.46,0.46,0.844,37.09,-0.589,-1.861,-1.839,-3.443,1,1,3,18.59,9.69,8.89,30.64,24.44,6.2
69,600583, 海油工程,5.04,-0.2,0.071,0.174,36.93,0.113,1.439,0.067,2.831,1,2,5,16.43,2.15,14.27,26.01,25.74,0.27
70,000883, 湖北能源,4.69,-0.85,0.047,0.12,36.68,0.099,0.321,0.158,0.402,1,4,7,7.47,4.92,2.55,30.16,16.74,13.42
71,603166, 福达股份,11.19,10.03,1.619,1.927,36.24,0.002,-1.294,-0.753,-2.948,1,2,5,20.36,7.39,12.97,28.05,20.19,7.86
72,600582, 天地科技,5.88,-0.84,0.104,0.219,36.18,-0.132,0.115,0.043,0.987,2,2,6,34.49,19.03,15.46,16.22,19.02,-2.8
73,688389, 普门科技,16.05,2.88,0.426,1.806,35.91,-0.094,1.697,-0.155,1.278,2,2,5,10.72,8.35,2.37,34.43,28.53,5.89
74,688129, 东来技术,18.4,4.6,0.461,0.932,35.66,0.518,0.927,0.578,0.959,1,4,7,10.22,5.66,4.57,31.62,19.67,11.96
75,002233, 塔牌集团,7.41,-0.4,0.1,0.113,35.62,0.134,0.585,0.067,0.738,1,4,6,0,0,0,36.04,10.42,25.62
76,300221, 银禧科技,8.17,3.68,1.954,4.739,35.59,4.833,11.202,3.273,7.069,5,5,6,9.69,3.88,5.81,31.75,22.74,9.01
77,600103, 青山纸业,2.26,0.44,0.373,0.469,35.18,0.398,1.838,-0.285,0.238,1,3,4,30.36,10.2,20.16,23.19,26.8,-3.6
78,300157, 新锦动力,3.3,2.48,0.828,2.969,35.17,0.937,6.421,-1.093,1.316,1,3,3,1.76,0,1.76,37.3,27.72,9.58
79,601718, 际华集团,2.62,0,0.132,0.15,35.12,-0.008,0.502,-0.286,-0.238,1,2,4,22.76,4.71,18.05,23.88,21.71,2.17
80,600774, 汉商集团,7.54,1.21,0.279,2.399,34.86,0.281,2.867,0.326,2.389,1,3,6,4.21,4.9,-0.69,20.54,11.5,9.04
81,000755, 山西高速,4.78,-0.42,0.069,0.15,34.77,-0.217,0.074,-0.235,0.845,1,2,4,12.95,0,12.95,23.85,19.39,4.45
82,300391, 长药控股,5.26,1.35,0.801,4.449,34.76,1.95,13.223,0.35,7.062,4,4,5,5.25,1.54,3.72,27.65,21.95,5.71
83,300219, 鸿利智汇,7.51,1.49,0.241,1.237,34.64,-0.226,0.656,-1.108,-0.671,1,1,1,7.26,1.71,5.55,26.81,22.65,4.17
84,300043, 星辉娱乐,4.32,1.17,0.749,2.777,34.21,0.349,-3.708,-1.266,-8.679,2,2,4,8.9,1.36,7.55,29.72,26.23,3.5
85,002046, 国机精工,15.81,2,0.778,1.996,34.2,3.101,2.885,2.057,1.582,2,4,5,13.52,7.48,6.04,28.96,21.8,7.16
86,300045, 华力创通,23.15,4.66,1.151,3.885,33.87,2.208,10.181,1.193,9.036,2,4,5,10.32,7.68,2.64,32.05,24.3,7.75
87,600512, 腾达建设,2.35,-0.84,0.155,0.248,33.66,0.28,-0.054,-0.191,-1.708,1,3,3,15.43,3.72,11.72,22.9,15.17,7.74
88,603055, 台华新材,11.37,3.55,0.389,1.426,33.65,0.542,2.454,0.327,3.031,4,4,4,15.12,5.76,9.36,22.74,21.01,1.73
89,002559, 亚威股份,10.4,0.39,0.705,4.397,33.58,0.173,1.811,-1.509,-4.094,2,3,5,6.82,3.61,3.22,28.81,24.56,4.26
90,000700, 模塑科技,7.28,0.28,0.187,2.072,33.51,0.855,2.838,0.336,5.884,2,3,5,10.99,7.78,3.21,26.35,25.44,0.91
91,300940, 南极光,15.98,2.24,0.441,2.093,32.73,-0.082,-1.281,-1.101,-1.481,1,2,2,6.07,0,6.07,29.36,25.9,3.46
92,002329, 皇氏集团,3.41,1.49,0.594,1.234,32.3,0.342,2.02,0.503,1.675,1,1,3,5.77,4.72,1.05,30.21,14.26,15.96
93,601113, 华鼎股份,4.32,9.92,0.853,1.252,31.97,0.808,0.556,0.738,2.036,1,3,6,33.53,13.51,20.02,23.44,31,-7.56
94,600969, 郴电国际,6.46,-0.15,0.135,0.997,31.94,0.791,2.938,1.859,5.991,2,4,8,7.54,14.87,-7.33,24.59,10.28,14.32
95,688722, 同益中,17.41,5.84,1.23,3.095,31.8,0.136,-2.076,0.313,-1.943,2,2,5,7.81,3.78,4.04,32.32,23.08,9.23
96,002416, 爱施德,13.94,2.35,0.328,1.763,31.62,0.115,0.599,-2.174,-6.14,2,2,2,7.81,6.7,1.11,32.54,26.72,5.82
97,600064, 南京高科,7.02,-1.27,0.037,0.405,31.57,0.032,0.937,-0.078,1.833,2,3,5,6.9,6.11,0.78,18.98,13.78,5.2
98,601065, 江盐集团,8.61,-0.69,0.059,0.512,31.51,-0.148,-0.001,-0.534,-0.294,2,2,4,4.31,0,4.31,19.74,16.06,3.67
99,603162, 海通发展,8.87,0.45,0.327,1.348,31.36,0.414,3.173,0.636,6.624,4,4,6,13.29,1.54,11.76,15.24,14.21,1.04
100,300265, 通光线缆,8.57,0.71,0.232,1.591,31.36,-0.157,0.88,-0.608,-0.324,2,3,5,4.24,4.71,-0.47,24.81,16.2,8.61
101,600216, 浙江医药,15.46,0.32,0.233,0.554,31.33,0.477,0.587,0.992,2.57,3,4,9,14.17,6.43,7.73,26.47,20.9,5.57
102,603189, 网达软件,18.64,3.9,1.421,2.138,31.32,-0.121,-4.715,1.768,-3.644,1,2,5,18.28,4.83,13.45,17.8,11.65,6.15
103,688323, 瑞华泰,17.35,-2.96,0.311,1.287,31.18,0.588,1.431,0.374,1.528,4,4,6,9.17,13.16,-3.98,35.25,23.61,11.64
104,603565, 中谷物流,9,0.67,0.05,0.079,31.04,0.073,0.3,0.08,0.731,2,3,6,19.02,2,17.02,14.59,11.71,2.88
105,002859, 洁美科技,21.23,1.14,0.294,0.297,31.02,0.481,-0.998,0.188,0.127,1,3,6,14.64,5.41,9.23,30.74,20.5,10.24
106,002167, 东方锆业,8.59,3.87,1.05,3.217,30.96,0.116,-2.614,0.038,-0.223,1,2,5,11.83,5.97,5.85,28.1,22.78,5.32
107,300162, 雷曼光电,7.99,3.5,0.615,2.605,30.91,1.016,3.263,0.393,-0.689,2,3,4,5.14,4.81,0.33,34.24,25.8,8.44
108,600435, 北方导航,10.94,1.02,0.22,0.241,30.87,0.319,-1.48,-0.11,-1.886,2,2,3,18.56,2.16,16.4,19.95,15.26,4.69
109,600328, 中盐化工,7.39,0,0.069,0.352,30.77,-0.087,0.634,-0.073,2.219,1,2,3,10.93,6.12,4.81,26.76,23.9,2.87
110,600686, 金龙汽车,14.05,2.93,0.557,2.004,30.68,-1.703,-2.197,-2.634,-2.217,1,1,2,15.75,11.46,4.29,27.94,23.56,4.38
111,300652, 雷迪克,42.9,-1.4,0.763,1.05,30.59,2.748,3.849,3.443,2.529,5,5,8,8.08,9.61,-1.53,45.02,29.98,15.05
112,000892, 欢瑞世纪,4.68,10.12,1.774,1.752,30.56,4.864,1.924,5.401,5.079,3,4,7,32.29,5.37,26.92,12.57,25.84,-13.27
113,600322, 津投城开,2.57,9.83,1.284,2.248,30.3,1.347,3.555,1.787,5.297,2,3,6,20.65,11.28,9.37,29.67,26.73,2.94
114,002641, 公元股份,4.43,0.45,0.092,0.372,30.23,-0.009,-0.457,-0.254,-0.601,1,3,4,4.59,4.79,-0.19,30.71,20.61,10.1
115,301149, 隆华新材,11.13,7.74,1.165,4.025,30.11,0.842,3.518,0.2,2.828,1,1,1,3.11,0.59,2.52,29.91,20.31,9.6
116,301332, 德尔玛,10.4,-0.1,0.15,0.599,29.82,0.011,0.552,0.152,0.832,1,2,4,7,7.07,-0.07,30.42,21.02,9.41
117,688697, 纽威数控,19.84,8.42,0.467,1.009,29.7,0.183,-0.152,0.274,-0.145,1,3,6,8.35,3.19,5.16,26.49,15.9,10.6
118,601997, 贵阳银行,5.74,-0.86,-0.016,0.24,29.66,0.041,0.735,0.036,1.162,0,2,4,13.51,12.8,0.71,27.31,30.71,-3.4
119,603236, 移远通信,90.68,7.7,1.547,1.34,29.59,1.565,1.888,-1.087,-3.094,1,4,5,35.44,17.78,17.66,25.82,28.56,-2.74
120,300606, 金太阳,21.15,6.93,1.578,3.885,29.58,1.255,2.406,0.613,2.604,2,2,4,9.16,3.38,5.79,27.61,19.54,8.07
121,688573, 信宇人,22.03,1.71,2.368,3.122,29.48,6.375,12.27,5.684,13.635,2,3,5,14.98,2.8,12.17,31.33,27.92,3.41
122,002293, 罗莱生活,7.56,0,0.083,0.131,29.47,0.385,1.037,0.474,1.511,8,5,8,8.51,0,8.51,25.34,15.22,10.12
123,600325, 华发股份,5.46,-1.62,0.087,0.502,29.47,0.122,0.913,-0.157,0.724,2,2,3,14.12,4.66,9.45,20.93,23.17,-2.24
124,002512, 达华智能,5.37,2.29,1.035,3.773,29.43,1.277,3.666,0.243,2.341,3,4,6,7.05,4.05,3,27.05,19.01,8.04
125,002442, 龙星科技,5.94,3.48,0.683,4.478,29.4,1.155,6.11,0.902,7.94,2,4,7,9.52,4.93,4.59,19.61,16.04,3.57
126,300365, 恒华科技,6.82,1.94,1.014,2.801,29.38,1.723,11.227,1.011,8.046,3,4,5,5.74,2.61,3.13,30.87,21.4,9.47
127,601127, 赛力斯,127.81,3.31,0.374,0.395,29.31,0.452,0.437,-1.02,-1.867,2,3,4,30.25,17.88,12.37,27.92,26.59,1.33
128,600968, 海油发展,3.78,0,0.025,0.112,29.27,-0.001,0.668,-0.139,1.242,1,3,3,10.28,1.54,8.73,22.2,21.31,0.88
129,300598, 诚迈科技,55.16,4.59,1.133,2.728,29.19,0.63,3.328,-0.079,2.563,2,2,4,13.44,9.14,4.3,33.3,27.3,6
130,603291, 联合水务,14.9,0.74,0.441,1.494,29.06,0.963,1.91,-0.444,-0.23,2,3,3,9.59,4.23,5.36,26.24,20.68,5.56
131,605208, 永茂泰,10.19,10.04,0.468,0.845,29.05,2.055,1.079,0.998,-1.707,2,3,3,42.69,30.54,12.14,15.28,20.62,-5.33
132,688220, 翱捷科技-U,101.3,15.13,0.722,1.171,28.76,2.368,3.41,1.743,1.857,5,5,7,25.33,18.71,6.63,32.29,28.91,3.38
133,300354, 东华测试,53.81,8.6,1.757,2.721,28.74,2.194,0.56,1.093,0.021,2,3,4,24.96,13.99,10.97,25.84,24.18,1.66
134,002326, 永太科技,9.98,2.67,0.55,0.869,28.73,0.199,0.563,1.29,5.051,2,2,6,13.13,2.77,10.36,25.37,19.32,6.05
135,603519, 立霸股份,12.66,0.4,0.178,0.375,28.61,0.596,0.27,0.448,1.662,4,4,6,11.56,5.59,5.97,24.81,16,8.81
136,000881, 中广核技,7.09,-0.28,0.095,0.279,28.6,0.099,0.771,-0.067,1.326,1,3,6,11.56,2.72,8.83,20.44,16.07,4.36
137,300342, 天银机电,18.84,0.05,0.495,4.022,28.59,1.17,9.638,-0.745,3.625,1,2,2,4.68,6.46,-1.78,29.56,22.37,7.19
138,600288, 大恒科技,9.92,1.54,0.649,2.303,28.03,0.149,-0.651,-2.009,-5.135,1,1,1,10.78,5.1,5.68,25.23,20.81,4.42
139,603256, 宏和科技,9.79,1.98,0.162,0.969,27.99,0.492,1.327,0.237,0.265,4,4,5,5.02,6,-0.97,23.79,14.35,9.43
140,603020, 爱普股份,8.37,0.6,0.28,0.109,27.99,0.317,-0.694,-1.014,-3.187,2,2,2,28.05,7.31,20.74,18.57,16.27,2.3
141,603997, 继峰股份,11.88,10,0.307,0.308,27.96,0.265,-0.047,0.319,-0.094,1,2,5,23.25,7.65,15.6,24.55,23.06,1.49
142,000012, 南0玻Ａ,4.95,-0.6,0.077,0.117,27.71,-0.086,-0.078,-0.217,0.116,1,1,3,3.2,0,3.2,29.21,14.09,15.12
143,600509, 天富能源,6.44,-0.77,0.185,2.096,27.65,0.222,2.234,-0.269,1.345,2,2,3,11.65,5.7,5.95,21.94,24.05,-2.11
144,603158, 腾龙股份,9.61,3.78,0.603,3.368,27.63,-0.339,-3.034,-0.322,4.382,2,2,4,6.24,5.6,0.65,27.28,20.35,6.93
145,300891, 惠云钛业,8.74,1.98,0.216,1.767,27.43,-0.156,0.73,-0.243,0.752,1,2,4,4.29,1.24,3.05,20.58,16.36,4.22
146,600173, 卧龙地产,6.11,-0.49,0.237,1.259,27.38,0.604,-0.042,1.611,0.409,3,3,6,9.99,7.41,2.58,24.67,20.05,4.62
147,300551, 古鳌科技,10.83,8.63,2.154,6.339,27.31,1.452,8.299,-0.12,9.72,2,2,2,5.73,5.72,0,29.07,17.3,11.77
148,603958, 哈森股份,14.5,4.02,0.572,1.88,27.28,0.057,1.818,-0.396,-0.744,1,2,3,5.84,3.88,1.96,26.02,16.18,9.84
149,000539, 粤电力Ａ,4.48,-0.67,0.063,0.154,27.13,-0.135,0.104,-0.184,-0.392,1,1,2,4.71,2.37,2.35,24.64,11.74,12.9
150,002839, 张家港行,4.16,-0.95,0.003,0.223,27.07,0.09,0.628,0.073,0.91,2,4,6,13.72,19.34,-5.62,33.35,27.3,6.05
151,601128, 常熟银行,6.9,-1.29,0.102,0.393,26.9,0.356,1.465,0.22,1.451,2,4,7,16.13,12.22,3.9,21.9,17.3,4.6
152,603053, 成都燃气,9.15,-0.22,0.015,0.053,26.75,-0.011,0.118,-0.055,0.645,1,2,4,15.34,2.31,13.03,16.96,19.28,-2.32
153,600252, 中恒集团,2.43,-0.82,0.123,0.198,26.66,0.009,0.246,0.116,1.756,2,3,5,13.33,4.52,8.82,21.82,14.56,7.26
154,002446, 盛路通信,6.55,2.66,0.405,2.132,26.65,0.21,0.516,-0.248,-0.332,1,2,3,2.84,0.63,2.21,28.24,22.15,6.09
155,600866, 星湖科技,6.67,3.09,0.196,1.201,26.61,0.549,2.824,-0.545,2.315,2,4,5,13.93,6.5,7.42,23.88,25.48,-1.6
156,600698, 湖南天雁,5.75,-0.17,0.113,1.173,26.6,-0.585,-1.441,-0.431,-1.756,2,3,5,7.07,5.23,1.83,23.76,21,2.76
157,688271, 联影医疗,141,1.04,0.147,0.125,26.54,0.309,0.067,0.292,0.057,4,4,6,19.28,11.04,8.24,31.99,24.24,7.74
158,002970, 锐明技术,55.17,6.77,1.668,1.702,26.46,2.302,7.047,2.545,10.852,1,3,6,33.35,18.03,15.32,23.51,25.72,-2.21
159,001208, 华菱线缆,10.43,1.86,0.581,2.11,26.44,0.247,-1.216,-0.235,-7.308,1,3,5,8.43,0,8.43,20.22,16.87,3.35
160,000338, 潍柴动力,15.72,2.14,0.162,0.467,26.41,-0.383,-0.335,-0.233,-0.216,1,2,4,21.54,14.22,7.32,27.25,27.07,0.18
161,300720, 海川智能,21.3,2.5,0.528,0.84,26.36,0.194,0.067,0.135,-0.455,2,2,5,14.46,2.25,12.21,30.04,29.25,0.79
162,002222, 福晶科技,39.35,8.34,1.437,1.416,26.32,0.829,-0.236,-0.565,-1.338,2,4,5,28.16,14.39,13.78,28.41,28.75,-0.34
163,301101, 明月镜片,61.61,10.41,1.309,2.142,26.31,1.207,1.056,-0.111,-2.817,1,3,4,12.59,6.42,6.16,32.68,26.02,6.66
164,002403, 爱仕达,20.71,7.25,3.3,3.291,26.28,3.348,-0.717,0.517,-8.995,2,3,5,21.29,5.97,15.32,22.42,20.47,1.95
165,002474, 榕基软件,8.35,6.64,3.772,4.136,26.14,5.284,-1.869,7.64,-2.366,1,2,5,32.13,15.16,16.96,18.98,21.67,-2.69
166,300211, 亿通科技,10.43,5.67,1.13,3.37,26.12,1.669,5.835,-1.391,-8.713,1,3,3,12.3,5.48,6.82,24.7,20.82,3.88
167,603920, 世运电路,38.88,2.07,0.409,1.004,25.94,1.07,3.628,1.447,3.834,3,4,6,15.94,11.59,4.35,27.27,21.88,5.39
168,002040, 南 京 港,6.49,-1.37,0.075,0.151,25.93,0.047,-0.244,0.097,-0.738,1,3,7,0,0,0,31.18,15.87,15.31
169,002339, 积成电子,7.78,1.57,0.479,2.999,25.93,2.192,13.172,0.778,6.946,4,4,4,5.77,5.63,0.14,25.77,19.09,6.67
170,300245, 天玑科技,22.44,20,3.662,4.256,25.71,3.763,-3.863,0.29,-9.009,1,3,5,32.2,13.33,18.87,23.33,29.72,-6.4
171,300500, 启迪设计,12.9,2.14,1.162,3.563,25.69,0.847,4.358,0.673,5.19,2,3,4,7.66,3.64,4.02,24.84,17.03,7.8
172,688028, 沃尔德,25.93,5.66,0.52,1.58,25.67,-0.994,1.483,-0.482,4.88,2,3,6,9.78,3.87,5.91,35.5,33.57,1.93
173,301229, 纽泰格,22.42,4.04,0.546,2.122,25.63,-0.088,0.079,-0.976,-0.189,1,2,2,1.72,2.26,-0.54,28.06,16.96,11.1
174,600773, 西藏城投,10.43,0.58,0.084,0.335,25.5,-0.105,-0.14,-0.504,-0.606,1,1,1,5.64,2.32,3.32,27.5,21.57,5.93
175,688576, 西山科技,68.17,0.41,0.342,0.488,25.4,1.08,1.619,0.789,2.233,4,4,7,0.87,3.14,-2.27,35.59,17.65,17.94
